Rank,Release Title,Distributor,Lifetime Gross,Max Theaters,Opening,Opening Number of Theaters,Release Date
13,Iron Man,Paramount Pictures,$318604126,4154,$98618668,4105,May 2 2008
23,The Incredible Hulk,Universal Pictures,$134806913,3508,$55414050,3505,Jun 13 2008
15,Iron Man 2,Paramount Pictures,$312433331,4390,$128122480,4380,May 7 2010
20,Thor,Paramount Pictures,$181030624,3963,$65723338,3955,May 6 2011
22,Captain America: The First Avenger,Paramount Pictures,$176654505,3715,$65058524,3715,Jul 22 2011
4,The Avengers,Walt Disney Studios Motion Pictures,$623357910,4349,$207438708,4349,May 4 2012
7,Iron Man 3,Walt Disney Studios Motion Pictures,$409013994,4253,$174144585,4253,May 3 2013
19,Thor: The Dark World,Walt Disney Studios Motion Pictures,$206362140,3841,$85737841,3841,Nov 8 2013
16,Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,$259766572,3938,$95023721,3938,Apr 4 2014
12,Guardians of the Galaxy,Walt Disney Studios Motion Pictures,$333176600,4088,$94320883,4080,Aug 1 2014
5,Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,$459005868,4276,$191271109,4276,May 1 2015
21,Ant-Man,Walt Disney Studios Motion Pictures,$180202163,3868,$57225526,3856,Jul 17 2015
8,Captain America: Civil War,Walt Disney Studios Motion Pictures,$408084349,4226,$179139142,4226,May 6 2016
17,Doctor Strange,Walt Disney Studios Motion Pictures,$232641920,3882,$85058311,3882,Nov 4 2016
10,Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,$389813101,4347,$146510104,4347,May 5 2017
11,Spider-Man: Homecoming,Sony Pictures Releasing,$334201140,4348,$117027503,4348,Jul 7 2017
14,Thor: Ragnarok,Walt Disney Studios Motion Pictures,$315058289,4080,$122744989,4080,Nov 3 2017
2,Black Panther,Walt Disney Studios Motion Pictures,$700059566,4084,$202003951,4020,Feb 16 2018
3,Avengers: Infinity War,Walt Disney Studios Motion Pictures,$678815482,4474,$257698183,4474,Apr 27 2018
18,Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,$216648740,4206,$75812205,4206,Jul 6 2018
6,Captain Marvel,Walt Disney Studios Motion Pictures,$426829839,4310,$153433423,4310,Mar 8 2019
1,Avengers: Endgame,Walt Disney Studios Motion Pictures,$858373000,4662,$357115007,4662,Apr 26 2019
9,Spider-Man: Far from Home,Sony Pictures Releasing,$390532085,4634,$92579212,4634,Jul 2 2019
-,Black Widow,Walt Disney Studios Motion Pictures,-,-,-,-,May 1 2020
-,Eternals,Walt Disney Studios Motion Pictures,-,-,-,-,Nov 6 2020
-,Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,-,-,-,-,Feb 12 2021
-,Doctor Strange in the Multiverse of Madness,Walt Disney Studios Motion Pictures,-,-,-,-,May 7 2021
-,Untitled Spider-Man Sequel,Sony Pictures Releasing,-,-,-,-,Jul 16 2021
-,Thor: Love and Thunder,Walt Disney Studios Motion Pictures,-,-,-,-,Nov 5 2021
-,Untitled Disney Marvel Film,Walt Disney Studios Motion Pictures,-,-,-,-,Feb 18 2022
-,Black Panther II,Walt Disney Studios Motion Pictures,-,-,-,-,May 6 2022
-,Untitled Disney Marvel Film,Walt Disney Studios Motion Pictures,-,-,-,-,Jul 29 2022
-,Untitled Marvel (Oct 2022),Walt Disney Studios Motion Pictures,-,-,-,-,Oct 7 2022
-,Untitled Marvel (Feb 2023),Walt Disney Studios Motion Pictures,-,-,-,-,Feb 17 2023
-,Untitled Marvel (May 2023),Walt Disney Studios Motion Pictures,-,-,-,-,May 5 2023
-,Untitled Marvel (July 2023),Walt Disney Studios Motion Pictures,-,-,-,-,Jul 28 2023
-,Untitled Marvel (Nov 2023),Walt Disney Studios Motion Pictures,-,-,-,-,Nov 3 2023
